Project_Type,Duration_Days,Hourly_Rate,Misc_Cost,Material_Cost,Developers,Designers,QA_Engineers,Labourers,Supervisors,Coordinators,Staff,Technicians,Creatives,Analysts,Scientists,Assistants,Total_Cost
Construction,163,681,28172,42994,0,0,0,9,6,0,0,0,0,0,0,0,1737330.7763904487
Construction,143,510,21299,40090,0,0,0,2,15,0,0,0,0,0,0,0,1294559.3174311577
Construction,140,887,17763,69165,0,0,0,16,1,0,0,0,0,0,0,0,2203403.892985281
Research,172,991,48553,55096,0,0,0,0,0,0,0,0,0,0,19,15,5901253.796510953
IT,78,919,23058,86637,15,3,1,0,0,0,0,0,0,0,0,0,1465583.363096737
Marketing,134,571,27433,11089,0,0,0,0,0,0,0,0,3,8,0,0,882523.7958467646
IT,96,939,14794,97960,15,6,15,0,0,0,0,0,0,0,0,0,3352905.1950445604
Research,66,928,49333,18179,0,0,0,0,0,0,0,0,0,0,14,4,1171729.1504963678
Event,86,506,15449,60290,0,0,0,0,0,1,6,2,0,0,0,0,469828.9356507383
Marketing,81,846,43429,81678,0,0,0,0,0,0,0,0,14,17,0,0,2248303.6954810233
IT,92,921,20282,94866,10,19,9,0,0,0,0,0,0,0,0,0,3337072.422341322
Marketing,80,362,16002,23947,0,0,0,0,0,0,0,0,19,15,0,0,1017230.5427866465
Research,70,975,36655,53472,0,0,0,0,0,0,0,0,0,0,9,1,771316.1314856808
Marketing,98,953,34492,21240,0,0,0,0,0,0,0,0,14,9,0,0,2205935.5648123673
IT,129,426,10374,96710,16,17,16,0,0,0,0,0,0,0,0,0,2804325.678568437
Marketing,44,875,34165,68929,0,0,0,0,0,0,0,0,5,16,0,0,913331.6518807904
IT,146,623,30634,19168,2,1,8,0,0,0,0,0,0,0,0,0,1056157.543839775
Research,96,730,39215,16581,0,0,0,0,0,0,0,0,0,0,12,14,1880432.012997625
Construction,61,904,21789,24567,0,0,0,19,6,0,0,0,0,0,0,0,1431824.2927258147
Marketing,166,478,33803,28230,0,0,0,0,0,0,0,0,7,4,0,0,933578.0603490891
Marketing,171,646,16190,72824,0,0,0,0,0,0,0,0,1,8,0,0,1071194.2303255016
IT,154,872,26259,38933,8,19,10,0,0,0,0,0,0,0,0,0,5026816.412681641
Event,93,988,11796,96716,0,0,0,0,0,6,17,14,0,0,0,0,3507804.4721368565
IT,145,854,34075,26724,17,10,11,0,0,0,0,0,0,0,0,0,4763435.11105748
IT,97,870,8112,32054,13,11,14,0,0,0,0,0,0,0,0,0,3251254.5652284143
Event,148,632,49199,71035,0,0,0,0,0,19,12,8,0,0,0,0,3769473.6332550575
Marketing,170,600,38755,13321,0,0,0,0,0,0,0,0,5,8,0,0,1380619.6251161497
IT,100,473,18654,62893,13,15,17,0,0,0,0,0,0,0,0,0,2218108.103141277
Construction,77,972,29995,26977,0,0,0,5,19,0,0,0,0,0,0,0,1857712.1965793276
Marketing,177,383,34808,26715,0,0,0,0,0,0,0,0,19,15,0,0,2363785.527343865
Research,114,501,39610,20058,0,0,0,0,0,0,0,0,0,0,13,10,1380819.0914381982
Construction,60,417,45312,56619,0,0,0,3,6,0,0,0,0,0,0,0,327402.7550214274
Construction,90,567,7282,44624,0,0,0,13,15,0,0,0,0,0,0,0,1477022.0789663673
Construction,110,512,42437,87872,0,0,0,6,11,0,0,0,0,0,0,0,1096950.08567421
IT,131,329,41027,52849,3,3,12,0,0,0,0,0,0,0,0,0,865930.6325396894
IT,72,322,21743,25434,16,4,1,0,0,0,0,0,0,0,0,0,541026.3975036666
Marketing,174,306,8267,49332,0,0,0,0,0,0,0,0,1,1,0,0,179522.77575099203
Marketing,28,968,45379,27297,0,0,0,0,0,0,0,0,3,11,0,0,458500.20166075823
Event,58,875,27852,89239,0,0,0,0,0,2,16,12,0,0,0,0,1637099.6605844982
IT,40,687,10744,93820,18,5,3,0,0,0,0,0,0,0,0,0,818533.357799825
Event,116,747,30833,87362,0,0,0,0,0,18,6,15,0,0,0,0,3499669.2919379864
Research,39,784,7169,94092,0,0,0,0,0,0,0,0,0,0,5,10,557527.1317725815
Marketing,27,500,23800,35372,0,0,0,0,0,0,0,0,13,15,0,0,425738.41025892255
Marketing,154,408,41575,52261,0,0,0,0,0,0,0,0,4,5,0,0,660240.501060525
Construction,118,678,15582,60098,0,0,0,3,10,0,0,0,0,0,0,0,1109830.5353020506
Construction,169,408,9857,10340,0,0,0,14,12,0,0,0,0,0,0,0,1816123.5390205686
Marketing,138,903,35654,35879,0,0,0,0,0,0,0,0,3,13,0,0,2062813.4138945108
Construction,148,734,44420,65568,0,0,0,3,18,0,0,0,0,0,0,0,2396764.7981749927
Construction,28,464,23951,11307,0,0,0,5,17,0,0,0,0,0,0,0,330873.73727110296
Research,173,958,15238,48975,0,0,0,0,0,0,0,0,0,0,2,11,2215781.9708308023
Research,148,786,21859,17684,0,0,0,0,0,0,0,0,0,0,17,9,3053581.5227934564
Construction,21,881,37272,76418,0,0,0,19,16,0,0,0,0,0,0,0,762311.0715482368
Construction,111,886,33064,89063,0,0,0,15,11,0,0,0,0,0,0,0,2677389.8340825457
IT,91,903,23354,32190,15,4,7,0,0,0,0,0,0,0,0,0,2197871.030096042
Event,72,622,7490,35518,0,0,0,0,0,14,16,18,0,0,0,0,2191617.725101574
Research,76,865,24337,32313,0,0,0,0,0,0,0,0,0,0,16,12,1894236.4138770502
IT,56,462,17306,20503,17,8,7,0,0,0,0,0,0,0,0,0,870024.9673619138
Event,74,591,37792,19764,0,0,0,0,0,1,15,5,0,0,0,0,978303.6273379605
IT,173,846,15433,25038,8,9,2,0,0,0,0,0,0,0,0,0,2823702.811414636
Marketing,167,657,6098,29810,0,0,0,0,0,0,0,0,8,3,0,0,1248300.7671339996
Construction,54,872,23514,84085,0,0,0,16,2,0,0,0,0,0,0,0,964585.1757320133
IT,128,461,29297,66699,16,6,2,0,0,0,0,0,0,0,0,0,1511381.1781349524
Marketing,43,594,7951,27622,0,0,0,0,0,0,0,0,14,7,0,0,568407.1385352339
Research,48,620,20592,32173,0,0,0,0,0,0,0,0,0,0,13,19,1011888.2929791933
IT,32,843,43333,90905,4,8,18,0,0,0,0,0,0,0,0,0,936973.8980044044
Construction,165,352,19743,56101,0,0,0,4,13,0,0,0,0,0,0,0,1064335.5046741094
Marketing,128,589,42713,83463,0,0,0,0,0,0,0,0,2,11,0,0,1108409.2796249755
IT,58,890,28545,41897,18,6,17,0,0,0,0,0,0,0,0,0,2182569.7502981266
Event,130,876,10738,42402,0,0,0,0,0,9,2,12,0,0,0,0,2678007.938855202
Marketing,109,440,30682,12224,0,0,0,0,0,0,0,0,6,16,0,0,1098950.066353821
IT,166,931,28478,81854,11,13,5,0,0,0,0,0,0,0,0,0,4594468.0986472005
IT,33,822,33099,64040,9,19,19,0,0,0,0,0,0,0,0,0,1369870.450878782
Research,57,839,30599,97592,0,0,0,0,0,0,0,0,0,0,3,15,989703.8848488312
Construction,114,754,25456,88860,0,0,0,18,5,0,0,0,0,0,0,0,2092937.7238230116
IT,82,465,35154,44773,1,4,13,0,0,0,0,0,0,0,0,0,767769.3717980542
Research,171,562,35499,57377,0,0,0,0,0,0,0,0,0,0,3,6,951846.9405356634
IT,109,832,49283,43002,3,13,17,0,0,0,0,0,0,0,0,0,3093202.3647662797
Construction,62,343,7100,71997,0,0,0,13,5,0,0,0,0,0,0,0,462767.43655181315
Event,162,686,39926,61813,0,0,0,0,0,17,12,11,0,0,0,0,4547430.649433586
IT,131,487,20193,54864,16,15,17,0,0,0,0,0,0,0,0,0,3139505.3786940486
Event,179,998,35116,91029,0,0,0,0,0,7,1,7,0,0,0,0,2805873.08328847
Marketing,66,937,11155,56607,0,0,0,0,0,0,0,0,16,11,0,0,1740451.1077827993
Marketing,120,606,25936,14426,0,0,0,0,0,0,0,0,8,1,0,0,704798.2630082176
IT,54,513,29770,12204,2,2,13,0,0,0,0,0,0,0,0,0,512028.72797783965
Construction,13,901,26607,34968,0,0,0,5,18,0,0,0,0,0,0,0,339281.3508286401
Event,152,839,21616,48458,0,0,0,0,0,12,7,10,0,0,0,0,3762700.293097319
Research,113,367,12006,84218,0,0,0,0,0,0,0,0,0,0,1,17,838004.9710809974
Marketing,111,515,28989,85451,0,0,0,0,0,0,0,0,15,9,0,0,1491972.5814210924
Construction,14,895,10939,57562,0,0,0,1,18,0,0,0,0,0,0,0,312140.7431660783
Event,24,872,26625,37076,0,0,0,0,0,6,6,18,0,0,0,0,685003.128080545
Event,15,392,48527,87227,0,0,0,0,0,13,11,12,0,0,0,0,348392.3044586739
IT,84,632,47506,64110,12,6,9,0,0,0,0,0,0,0,0,0,1545231.8072299077
Event,110,900,44954,48870,0,0,0,0,0,6,18,6,0,0,0,0,3065483.2193162926
Marketing,117,870,33001,44064,0,0,0,0,0,0,0,0,11,11,0,0,2318574.4360309653
Research,115,307,15717,46191,0,0,0,0,0,0,0,0,0,0,4,15,732798.7388870787
IT,48,892,41435,97893,12,9,5,0,0,0,0,0,0,0,0,0,1246291.9613301514
Marketing,113,621,25022,53463,0,0,0,0,0,0,0,0,16,5,0,0,1555140.5766317768
Event,130,648,45386,95867,0,0,0,0,0,13,13,10,0,0,0,0,3191372.3889480005
IT,76,703,38396,13696,7,14,17,0,0,0,0,0,0,0,0,0,2075038.9702078665
Construction,125,992,6105,73811,0,0,0,1,18,0,0,0,0,0,0,0,2438351.822201101
Research,131,492,26904,74789,0,0,0,0,0,0,0,0,0,0,2,13,1071760.6220674256
IT,77,555,7871,56002,3,12,19,0,0,0,0,0,0,0,0,0,1512369.0797583843
Construction,49,944,9557,12179,0,0,0,10,15,0,0,0,0,0,0,0,1171484.431871305
Construction,125,408,25700,49464,0,0,0,16,19,0,0,0,0,0,0,0,1858013.5039811903
IT,77,570,40236,56976,3,15,8,0,0,0,0,0,0,0,0,0,1238783.7765775018
Research,173,835,15775,87801,0,0,0,0,0,0,0,0,0,0,4,3,1100136.3741040167
Research,125,578,48884,26964,0,0,0,0,0,0,0,0,0,0,9,6,1165837.0559895812
Research,66,949,27918,95076,0,0,0,0,0,0,0,0,0,0,3,19,1506476.9520648925
Marketing,178,642,40517,23156,0,0,0,0,0,0,0,0,16,19,0,0,4058796.6997661944
IT,135,795,41218,17214,4,7,16,0,0,0,0,0,0,0,0,0,2953219.449026542
Research,25,870,15014,74425,0,0,0,0,0,0,0,0,0,0,10,2,357550.84930849256
IT,148,779,17297,37128,17,4,16,0,0,0,0,0,0,0,0,0,4325488.738088614
Research,110,401,7800,52712,0,0,0,0,0,0,0,0,0,0,19,4,1070051.696863428
IT,136,387,25583,95774,7,6,1,0,0,0,0,0,0,0,0,0,856116.1010128411
Construction,178,776,23504,31644,0,0,0,6,6,0,0,0,0,0,0,0,1717395.1907574867
Marketing,61,544,6538,46176,0,0,0,0,0,0,0,0,17,12,0,0,1011503.1064622106
IT,90,773,49814,95091,4,18,17,0,0,0,0,0,0,0,0,0,2867515.8670661384
Event,52,718,23919,14173,0,0,0,0,0,1,14,2,0,0,0,0,665214.6312665959
Event,166,467,15578,28624,0,0,0,0,0,5,16,6,0,0,0,0,2135510.8539959667
Research,73,782,40531,62815,0,0,0,0,0,0,0,0,0,0,11,10,1305052.2662422408
Marketing,160,813,24477,27266,0,0,0,0,0,0,0,0,5,8,0,0,1747838.3822877554
Event,123,894,16442,56289,0,0,0,0,0,16,8,1,0,0,0,0,2812899.8238355084
Event,142,582,21523,76960,0,0,0,0,0,6,1,5,0,0,0,0,1092254.2640574034
IT,165,368,44029,10887,1,18,16,0,0,0,0,0,0,0,0,0,2186303.8602374205
Event,56,978,30027,56220,0,0,0,0,0,7,15,14,0,0,0,0,2052090.6477013924
Event,137,776,42623,32931,0,0,0,0,0,18,10,9,0,0,0,0,4002456.4252426745
Construction,78,711,30917,72120,0,0,0,5,18,0,0,0,0,0,0,0,1378958.3685936863
Construction,178,988,33230,69778,0,0,0,10,2,0,0,0,0,0,0,0,2204638.7345765247
Marketing,33,885,27693,14117,0,0,0,0,0,0,0,0,11,7,0,0,566859.7914686269
Event,166,794,35949,32547,0,0,0,0,0,9,12,19,0,0,0,0,5348148.912860059
Research,43,433,39510,11306,0,0,0,0,0,0,0,0,0,0,10,9,410815.7841703811
IT,105,859,41963,64330,2,4,1,0,0,0,0,0,0,0,0,0,736988.5553671714
Research,88,614,42525,12994,0,0,0,0,0,0,0,0,0,0,16,4,1131124.1026327668
Construction,167,324,46243,72912,0,0,0,17,13,0,0,0,0,0,0,0,1734739.4624872215
Marketing,92,949,16683,86872,0,0,0,0,0,0,0,0,13,14,0,0,2463442.2737800893
Construction,169,561,13367,80821,0,0,0,17,10,0,0,0,0,0,0,0,2653913.239245629
Event,94,426,34038,70686,0,0,0,0,0,4,9,19,0,0,0,0,1385260.2287104859
Marketing,26,342,40192,85945,0,0,0,0,0,0,0,0,18,13,0,0,403584.9152459604
IT,119,368,10039,31281,8,11,18,0,0,0,0,0,0,0,0,0,1664463.7087153757
Event,71,613,22568,96346,0,0,0,0,0,16,18,16,0,0,0,0,2298904.8978223144
Event,173,742,48326,24924,0,0,0,0,0,14,3,10,0,0,0,0,3537466.1416758453
IT,129,902,49781,43458,14,10,17,0,0,0,0,0,0,0,0,0,4864686.159580391
IT,48,668,25411,53803,1,5,9,0,0,0,0,0,0,0,0,0,564006.336840558
Construction,65,486,40585,30025,0,0,0,11,6,0,0,0,0,0,0,0,599563.1677436164
Marketing,116,848,30934,57195,0,0,0,0,0,0,0,0,18,2,0,0,2045311.3457859107
Event,13,513,33927,51094,0,0,0,0,0,11,4,15,0,0,0,0,289985.62003432715
Construction,130,684,6637,41781,0,0,0,16,5,0,0,0,0,0,0,0,1910705.433536452
IT,101,320,36174,74450,13,15,19,0,0,0,0,0,0,0,0,0,1628007.4580840834
Marketing,149,743,40098,31225,0,0,0,0,0,0,0,0,13,14,0,0,3057350.816327461
Research,45,921,43889,76736,0,0,0,0,0,0,0,0,0,0,10,7,821497.3228724941
Research,146,305,23978,66358,0,0,0,0,0,0,0,0,0,0,9,5,708295.7710027453
Construction,96,764,43987,26322,0,0,0,9,15,0,0,0,0,0,0,0,1825625.95582706
Marketing,121,344,10520,46455,0,0,0,0,0,0,0,0,2,5,0,0,351016.89272902504
Marketing,27,905,9757,88581,0,0,0,0,0,0,0,0,1,17,0,0,546029.2108325983
Event,131,949,29690,53939,0,0,0,0,0,2,9,10,0,0,0,0,2691425.91576391
Marketing,20,505,40062,79166,0,0,0,0,0,0,0,0,19,15,0,0,464871.4488416945
Event,146,474,24744,94925,0,0,0,0,0,1,19,3,0,0,0,0,1719141.2471973852
Construction,177,474,42865,18640,0,0,0,18,2,0,0,0,0,0,0,0,1744541.1404583254
Construction,102,538,37972,20799,0,0,0,17,7,0,0,0,0,0,0,0,1374588.8446685132
Construction,26,370,20810,15126,0,0,0,17,7,0,0,0,0,0,0,0,265317.61675996607
IT,34,550,37130,50142,11,16,9,0,0,0,0,0,0,0,0,0,760220.9769147913
IT,102,804,47581,24671,9,19,12,0,0,0,0,0,0,0,0,0,3358054.3461690545
Research,92,958,42825,14994,0,0,0,0,0,0,0,0,0,0,11,14,2258090.6135625187
IT,155,734,46153,87535,8,6,12,0,0,0,0,0,0,0,0,0,3094567.3903308916
Marketing,125,348,42548,46945,0,0,0,0,0,0,0,0,2,13,0,0,738249.0820567799
Research,88,831,27463,55276,0,0,0,0,0,0,0,0,0,0,10,3,1030226.1880558719
Event,71,943,27010,34123,0,0,0,0,0,11,11,11,0,0,0,0,2264633.666704548
Construction,71,555,19683,10670,0,0,0,2,15,0,0,0,0,0,0,0,700757.6941707445
IT,67,667,37172,69197,7,17,3,0,0,0,0,0,0,0,0,0,1310076.7372602636
Research,53,840,40386,96598,0,0,0,0,0,0,0,0,0,0,9,6,806564.0131461251
Event,30,875,5489,54516,0,0,0,0,0,10,12,10,0,0,0,0,901094.9870533306
Research,22,566,37821,61727,0,0,0,0,0,0,0,0,0,0,8,8,293331.83481328806
Event,139,905,15973,16859,0,0,0,0,0,10,12,11,0,0,0,0,4180143.1904593613
IT,11,477,11539,59522,18,17,6,0,0,0,0,0,0,0,0,0,297128.28379644314
Event,70,428,36709,57788,0,0,0,0,0,14,13,4,0,0,0,0,1025916.9530380591
Construction,141,779,15006,47701,0,0,0,5,12,0,0,0,0,0,0,0,1927916.826540096
Research,72,833,6093,90764,0,0,0,0,0,0,0,0,0,0,3,15,1173888.0815912695
Research,69,419,38457,95679,0,0,0,0,0,0,0,0,0,0,6,14,710708.7610682645
Research,113,376,33901,91159,0,0,0,0,0,0,0,0,0,0,11,1,638575.3535214415
Research,47,987,35746,85403,0,0,0,0,0,0,0,0,0,0,11,10,1095252.1350573883
Research,22,758,9594,35525,0,0,0,0,0,0,0,0,0,0,11,16,494418.3581616816
Research,44,897,37933,53469,0,0,0,0,0,0,0,0,0,0,18,17,1474716.042603446
Event,12,507,26188,86312,0,0,0,0,0,4,19,11,0,0,0,0,324810.90212592983
Construction,83,872,44850,66984,0,0,0,16,19,0,0,0,0,0,0,0,2643421.969942232
Construction,37,490,9996,32164,0,0,0,12,18,0,0,0,0,0,0,0,590851.442148525
Marketing,122,469,29229,89768,0,0,0,0,0,0,0,0,14,11,0,0,1554138.1099882787
Event,30,944,41182,10570,0,0,0,0,0,9,10,19,0,0,0,0,1126137.3127428386
IT,73,559,44104,28062,8,12,18,0,0,0,0,0,0,0,0,0,1627594.9919732446
Construction,157,733,22519,22192,0,0,0,11,15,0,0,0,0,0,0,0,3039185.465683661
Marketing,49,417,9627,66541,0,0,0,0,0,0,0,0,6,3,0,0,262258.3110317554
Research,75,737,47570,34519,0,0,0,0,0,0,0,0,0,0,12,8,1188261.3642103146
Event,159,959,28559,99049,0,0,0,0,0,17,16,14,0,0,0,0,7288561.923325312
Research,164,480,45150,98151,0,0,0,0,0,0,0,0,0,0,9,3,1091054.5561195014
Event,46,533,21848,56830,0,0,0,0,0,8,15,14,0,0,0,0,983261.8517805622
Marketing,26,363,11953,42093,0,0,0,0,0,0,0,0,19,14,0,0,364517.6670828595
Event,107,370,40179,35338,0,0,0,0,0,18,6,10,0,0,0,0,1421018.9883457855
Marketing,140,937,31616,89655,0,0,0,0,0,0,0,0,8,8,0,0,2216295.9129081736
Marketing,65,659,29685,35479,0,0,0,0,0,0,0,0,10,7,0,0,786284.1206406198
Research,45,400,49825,21349,0,0,0,0,0,0,0,0,0,0,4,18,460674.5286035184
Construction,40,674,39779,13373,0,0,0,5,6,0,0,0,0,0,0,0,346184.22954110877
Event,121,745,43230,29520,0,0,0,0,0,10,10,2,0,0,0,0,2060980.0097362252
